# na=200 ne=200 amin=0.05 amax=1 emin=0 emax=0.95
# dt_days=5 t_years=100 seed=42 integrator=whfast
a_init,e_init,da_over_a
0.05,0,-1.7957857423311907e-13
0.05,0.004773869347,-1.2863321519063220e-12
0.05,0.009547738693,-6.5475402877268607e-13
0.05,0.01432160804,-1.8517132271966830e-12
0.05,0.01909547739,-1.1816936318354010e-12
0.05,0.02386934673,2.0054791161072671e-12
0.05,0.02864321608,-1.8271495427768514e-12
0.05,0.03341708543,3.1613600626201332e-13
0.05,0.03819095477,-1.0483280910023041e-12
0.05,0.04296482412,1.1129985821867194e-12
0.05,0.04773869347,-2.0725088312190110e-12
0.05,0.05251256281,3.5124680941578390e-13
0.05,0.05728643216,2.5313084961453569e-13
0.05,0.06206030151,1.3480883076510963e-12
0.05,0.06683417085,-9.7505337137704373e-13
0.05,0.0716080402,3.0905833448002795e-13
0.05,0.07638190955,2.9394542355731801e-12
0.05,0.08115577889,2.1649348980190553e-14
0.05,0.08592964824,-1.6917023337725823e-12
0.05,0.09070351759,4.9266146717741321e-13
0.05,0.09547738693,-2.3796242754059449e-12
0.05,0.1002512563,-3.0099533976368775e-12
0.05,0.1050251256,-3.2479574585408955e-12
0.05,0.109798995,-4.5194403774928560e-12
0.05,0.1145728643,-3.1186164761720647e-12
0.05,0.1193467337,-4.7573056605187958e-13
0.05,0.124120603,-1.8179902028236938e-12
0.05,0.1288944724,-1.5019929744397587e-12
0.05,0.1336683417,-1.2136125437933742e-12
0.05,0.1384422111,3.7747582837255322e-14
0.05,0.1432160804,-4.5519144009631418e-13
0.05,0.1479899497,-1.7524870443708096e-12
0.05,0.1527638191,2.7880475705899244e-13
0.05,0.1575376884,5.6843418860808015e-13
0.05,0.1623115578,-6.6335825721353103e-13
0.05,0.1670854271,1.3600232051658168e-13
0.05,0.1718592965,-4.5158321526628242e-13
0.05,0.1766331658,-2.2926105458509483e-12
0.05,0.1814070352,-2.8768654125599369e-13
0.05,0.1861809045,4.0856207306205761e-13
0.05,0.1909547739,-8.7124751857459160e-13
0.05,0.1957286432,-2.3349377986647823e-12
0.05,0.2005025126,-8.4099394115355608e-13
0.05,0.2052763819,9.4035890185750759e-13
0.05,0.2100502513,2.1957435869524033e-12
0.05,0.2148241206,-3.5235703244040906e-13
0.05,0.2195979899,-6.3560268159790212e-13
0.05,0.2243718593,-9.0705221111875289e-13
0.05,0.2291457286,-6.4739880123454441e-13
0.05,0.233919598,2.0701496072916825e-12
0.05,0.2386934673,1.9845236565174673e-14
0.05,0.2434673367,-1.8154922010182872e-12
