# na=200 ne=200 amin=0.05 amax=1 emin=0 emax=0.95
# dt_days=5 t_years=10 seed=42 integrator=whfast_jacobi
a_init,e_init,da_over_a
0.05,0,9.1593399531575415e-15
0.05,0.004773869347,-2.5118795932144167e-13
0.05,0.009547738693,1.1310397063368782e-13
0.05,0.01432160804,-6.9888539400153604e-13
0.05,0.01909547739,-1.5182299861749016e-13
0.05,0.02386934673,4.6310177914676842e-13
0.05,0.02864321608,-6.5086824818649802e-14
0.05,0.03341708543,-3.2612801348363973e-13
0.05,0.03819095477,3.4069969068184491e-13
0.05,0.04296482412,5.1791904098763553e-13
0.05,0.04773869347,9.6866958898544908e-14
0.05,0.05251256281,-8.1393225492831789e-13
0.05,0.05728643216,-3.7678193898216250e-13
0.05,0.06206030151,-1.0838552277903091e-13
0.05,0.06683417085,4.0412118096355698e-13
0.05,0.0716080402,3.3001379406982778e-13
0.05,0.07638190955,-2.8588242884097781e-14
0.05,0.08115577889,1.1102230246251565e-13
0.05,0.08592964824,-3.7109204598095857e-13
0.05,0.09070351759,-4.3604009292153023e-13
0.05,0.09547738693,7.2025718722557031e-14
0.05,0.1002512563,9.3675067702747583e-14
0.05,0.1050251256,-4.0981107396476091e-13
0.05,0.109798995,-5.8453242246514492e-13
0.05,0.1145728643,-1.7028045640188338e-13
0.05,0.1193467337,-5.0778825588793097e-13
0.05,0.124120603,-3.7206349112750559e-13
0.05,0.1288944724,-3.7886360715333467e-14
0.05,0.1336683417,1.6431300764452317e-13
0.05,0.1384422111,7.2580830234869609e-14
0.05,0.1432160804,-1.3808398868775384e-13
0.05,0.1479899497,-3.7844727351910024e-13
0.05,0.1527638191,-2.8588242884097781e-14
0.05,0.1575376884,-3.7456149293291219e-13
0.05,0.1623115578,5.0209836288672705e-13
0.05,0.1670854271,2.0566881531181025e-13
0.05,0.1718592965,4.5380366131553274e-14
0.05,0.1766331658,5.0723314437561839e-13
0.05,0.1814070352,6.5933369874926484e-13
0.05,0.1861809045,-1.5973333766794440e-13
0.05,0.1909547739,-5.3013149425851225e-14
0.05,0.1957286432,-2.5937585412805220e-13
0.05,0.2005025126,-1.6930901125533637e-14
0.05,0.2052763819,-4.8003268027230206e-13
0.05,0.2100502513,9.0066842872715824e-14
0.05,0.2148241206,-6.4295790913604378e-13
0.05,0.2195979899,-5.5427884504410940e-13
0.05,0.2243718593,3.6012859361278515e-13
0.05,0.2291457286,3.4833247397614286e-13
0.05,0.233919598,7.1512240573667896e-13
0.05,0.2386934673,-1.4502288259166107e-13
0.05,0.2434673367,4.5657921887709563e-14
0.05,0.248241206,-4.8780424144467815e-13
0.05,0.2530150754,-1.9942381079829374e-13
0.05,0.2577889447,3.6831648841939568e-13
0.05,0.2625628141,-2.8699265186560297e-13
0.05,0.2673366834,-1.9512169657787126e-13
0.05,0.2721105528,-9.5062846483529029e-14
0.05,0.2768844221,-3.9371284010769614e-13
0.05,0.2816582915,4.6962433941644122e-13
0.05,0.2864321608,2.6145752229922437e-13
0.05,0.2912060302,-1.3294920719886250e-13
0.05,0.2959798995,-9.3092200614819376e-13
0.05,0.3007537688,-7.1428973846821009e-13
0.05,0.3055276382,-1.7055801215803967e-13
0.05,0.3103015075,-2.7117197376469448e-13
0.05,0.3150753769,-8.6736173798840355e-14
0.05,0.3198492462,1.1324274851176597e-13
0.05,0.3246231156,-7.7854389601839102e-14
0.05,0.3293969849,1.0796918914479647e-13
0.05,0.3341708543,1.6764367671839864e-13
0.05,0.3389447236,-6.1201044232461754e-14
0.05,0.343718593,4.0176195703622852e-13
0.05,0.3484924623,-2.5660029656648931e-13
0.05,0.3532663317,-1.3405943022348765e-13
0.05,0.358040201,9.5937147115421340e-13
0.05,0.3628140704,-5.7273630282850263e-13
0.05,0.3675879397,3.9690473130349346e-14
0.05,0.372361809,-2.6395552410463097e-13
0.05,0.3771356784,1.5196177649556830e-13
0.05,0.3819095477,1.9137469386976136e-13
0.05,0.3866834171,4.9821258230053900e-14
0.05,0.3914572864,1.9304002840669909e-13
0.05,0.3962311558,-5.7592819402429996e-14
0.05,0.4010050251,-4.6240788975637770e-13
0.05,0.4057788945,-1.9817480989559044e-13
0.05,0.4105527638,1.3100631690576847e-13
0.05,0.4153266332,-6.1964322561891549e-13
0.05,0.4201005025,-4.6934678366028493e-13
0.05,0.4248743719,-2.9601321394068236e-13
0.05,0.4296482412,3.7261860263981816e-13
0.05,0.4344221106,-4.3812176109270240e-13
0.05,0.4391959799,3.8011260805603797e-13
0.05,0.4439698492,5.3679283240626319e-13
0.05,0.4487437186,-7.2858385991025898e-14
0.05,0.4535175879,9.7699626167013776e-14
0.05,0.4582914573,-4.2466030691912238e-13
0.05,0.4630653266,7.6744166577213946e-14
0.05,0.467839196,2.6922908347160046e-13
0.05,0.4726130653,2.9018454306140029e-13
0.05,0.4773869347,1.1546319456101628e-13
0.05,0.482160804,-3.8219427622721014e-13
0.05,0.4869346734,3.3598124282718800e-13
0.05,0.4917085427,1.2184697695261093e-13
0.05,0.4964824121,2.3051005548779813e-13
0.05,0.5012562814,2.9698465908722937e-13
0.05,0.5060301508,-4.3035019992032630e-13
0.05,0.5108040201,-3.2321367804399870e-13
0.05,0.5155778894,6.7140737414206342e-13
0.05,0.5203517588,1.9137469386976136e-13
0.05,0.5251256281,-7.3968609015651055e-14
0.05,0.5298994975,2.6353919047039653e-13
0.05,0.5346733668,-3.2696068075210860e-13
0.05,0.5394472362,-7.4246164771807344e-14
0.05,0.5442211055,3.6498581934552021e-14
